
MotionBank[0, pl0800_basic.motlist.85]
    0 -- pl0800_Idle_Normal
    1 -- pl0800_Switch_Idle_Leg
    2 -- pl0800_Switch_Idle_Leg_to-Lfront
    10 -- pl0800_Idle_Leave
    11 -- pl0800_Idle_survey
    20 -- pl0800_Idle_Narrow
    100 -- pl0800_Idle_Battle
    1000 -- pl0800_Jump_Vertical
    1010 -- pl0800_Jump_Vertical_Fly_Loop
    1020 -- pl0800_Jump_Vertical_Landing
    1030 -- pl0800_Jump_Vertical_Landing_Lockon
    1040 -- pl0800_Jump_Narrow_Landing
    1100 -- pl0800_Jump_Front
    1120 -- pl0800_Jump_Front_Landing
    1121 -- pl0800_Jump_Vertical_Landing_U-body
    1122 -- pl0800_Jump_Vertical_Landing_D-body
    1200 -- pl0800_Jump_Back
    1320 -- pl0800_Jump_Stinger
    1321 -- pl0800_Jump_Stinger_Loop
    1322 -- pl0800_Jump_Stinger_Landing
    1330 -- pl0800_Jump_Grim_Trick
    1340 -- pl0800_Jump_Enemystep_Fly
    1500 -- pl0800_Jump_Wall_Vertical
    1510 -- pl0800_Jump_Wall_Back
    1520 -- pl0800_Jump_Wall_Right
    1530 -- pl0800_Jump_Wall_Left
    1540 -- pl0800_Jump_WallBack_Vertical
    1550 -- pl0800_Jump_WallBack_Front
    1560 -- pl0800_Jump_WallBack_Right
    1570 -- pl0800_Jump_WallBack_Left
    1580 -- pl0800_Jump_Wall_Back_2
    2010 -- pl0800_Evade_Left
    2020 -- pl0800_Evade_Right
    2300 -- pl0800_Evade_Low_F
    2310 -- pl0800_Evade_Low_L
    2320 -- pl0800_Evade_Low_R
    2330 -- pl0800_Evade_Low_B
    3000 -- pl0800_Jump_L
    3100 -- pl0800_Jump_R
    5000 -- pl0800_Trick_L_start
    5001 -- pl0800_Trick_L_Landing
    5002 -- pl0800_Trick_R_Start
    5003 -- pl0800_Trick_R_Landing
    5010 -- pl0800_Trick_Up
    5020 -- pl0800_Trick_Down
    5030 -- pl0800_Trick_Down_Air
    5050 -- pl0800_Trick_Down_Landing
    5100 -- pl0800_Trick_Start
    5110 -- pl0800_Trick_End
    5120 -- pl0800_Trick_End_Air

MotionBank[1, pl0800_move.motlist.85]
    0 -- pl0800_Walk_Loop
    10 -- pl0800_Walk_Start
    11 -- pl0800_Walk_Start_90_L
    12 -- pl0800_Walk_Start_180_L
    13 -- pl0800_Walk_Start_0_R
    14 -- pl0800_Walk_Start_270_R
    15 -- pl0800_Walk_Start_180
    20 -- pl0800_Walk_Stop
    30 -- pl0800_Walk_Turn_180
    40 -- pl0800_Walk_Turn_180_L
    60 -- pl0800_Walk_Start_180
    1000 -- pl0800_Run_Loop
    1010 -- pl0800_Run_Start
    1011 -- pl0800_Run_Start_90
    1012 -- pl0800_Run_Start_180_L
    1013 -- pl0800_Run_Start_0R
    1014 -- pl0800_Run_Start_270
    1015 -- pl0800_Run_Start_180
    1020 -- pl0800_Run_Stop
    1021 -- pl0800_Run_Start_0R
    1030 -- pl0800_Run_Turn_180
    1040 -- pl0800_Run_Turn_180_L
    1070 -- pl0800_Run_Boost_Loop
    1080 -- pl0800_Run_Uphill_Loop
    1090 -- pl0800_Run_Downhill_Loop
    1130 -- pl0800_Run_Bank_Switch_L
    1230 -- pl0800_Run_Bank_Switch_R
    1990 -- pl0800_Walk_Hand_Loop
    1991 -- pl0800_Run_Hand_Loop
    2000 -- pl0800_Dash_Loop
    2020 -- pl0800_Dash_Stop
    2030 -- pl0800_Dash_180
    2500 -- pl0800_Jog_Loop
    2520 -- pl0800_Jog_Stop
    2530 -- pl0800_Jog_Turn_180
    2540 -- pl0800_Jog_Turn_180_L
    2560 -- pl0800_Jog_Start_180
    3000 -- pl0800_Strafe_0_FL_Loop
    3110 -- pl0800_Strafe_90_FR_Loop
    3150 -- pl0800_Strafe_90_BL_Loop
    3250 -- pl0800_Strafe_180_BL_Loop
    3300 -- pl0800_Strafe_270_FL_Loop
    3360 -- pl0800_Strafe_270_BR_Loop
    3410 -- pl0800_Strafe_150_FR_Loop
    3500 -- pl0800_Strafe_210_FL_Loop
    3650 -- pl0800_Strafe_30_BL_Loop
    3710 -- pl0800_Strafe_Swiitch_0_B
    3760 -- pl0800_Strafe_330_BR_Loop
    8000 -- pl0800_Turn_Spot_180_L
    8010 -- pl0800_Turn_Spot_180_R
    8900 -- pl0800_Wall_Stop
    9000 -- pl0800_Wall_Stop
    9010 -- pl0800_Cliff_stop

MotionBank[101, pl0800_strafe.motlist.85]
    0 -- pl0800_Move_Start_R
        Motion[1, 1013, pl0800_Run_Start_0R]
        Motion[1, 1014, pl0800_Run_Start_270]
        Motion[1, 1015, pl0800_Run_Start_180]
        Motion[1, 13, pl0800_Walk_Start_0_R]
        Motion[1, 14, pl0800_Walk_Start_270_R]
        Motion[1, 15, pl0800_Walk_Start_180]
        Motion[200, 50, pl0800_YMT_Walk_Loop]
        Motion[200, 60, pl0800_YMT_Jog_Loop]
        Motion[200, 70, pl0800_YMT_Run_Loop]
        Motion[200, 80, pl0800_YMT_Dash_Loop]
    1 -- pl0800_Move_Start_L
        Motion[1, 10, pl0800_Walk_Start]
        Motion[1, 1012, pl0800_Run_Start_180_L]
        Motion[1, 1010, pl0800_Run_Start]
        Motion[1, 1011, pl0800_Run_Start_90]
        Motion[1, 11, pl0800_Walk_Start_90_L]
        Motion[1, 12, pl0800_Walk_Start_180_L]
        Motion[200, 50, pl0800_YMT_Walk_Loop]
        Motion[200, 60, pl0800_YMT_Jog_Loop]
        Motion[200, 70, pl0800_YMT_Run_Loop]
        Motion[200, 80, pl0800_YMT_Dash_Loop]
    5 -- pl0800_Strafe_Trun_L
    6 -- pl0800_Strafe_Trun_R
    10 -- pl0800_Move_Loop
        Motion[1, 1070, pl0800_Run_Boost_Loop]
        Motion[1, 1080, pl0800_Run_Uphill_Loop]
        Motion[1, 1090, pl0800_Run_Downhill_Loop]
